Pattern,Occurrences,Avg_Next_Close_Change,Bullish_Percentage,Bearish_Percentage,Avg_Immediate_Bullish_Hours,Avg_Immediate_Bearish_Hours,Avg_Long_Term_Bullish_Hours,Avg_Long_Term_Bearish_Hours,Uptrend_Percentage,Downtrend_Percentage,Sideways_Percentage,High_Volume_Percentage,Support_Resistance_Breach_Percentage,Daily_Trend_Alignment_Percentage,Best_Hour_of_Day
CDLGAPSIDESIDEWHITE,78,-0.0001443352177800373,37.17948717948718,41.02564102564102,2.9743589743589745,2.4871794871794872,7.3076923076923075,6.256410256410256,24.358974358974358,11.538461538461538,64.1025641025641,28.205128205128204,21.794871794871796,30.76923076923077,13
CDLGRAVESTONEDOJI,478,0.001503491064213646,55.43933054393305,33.89121338912134,3.3221757322175733,2.805439330543933,7.824267782426778,7.060669456066946,26.778242677824267,13.389121338912133,59.83263598326359,21.548117154811717,14.644351464435147,34.30962343096235,12
CDLHAMMER,659,-0.0009468980497269153,40.819423368740516,45.97875569044006,3.1471927162367224,2.9226100151745067,7.708649468892261,6.981790591805766,23.368740515933233,16.99544764795144,59.63581183611532,29.74203338391502,28.83156297420334,35.66009104704097,20
CDLHANGINGMAN,1739,-0.0012078932442954997,38.06785508913168,50.83381253594019,3.2656699252443935,3.0023001725129386,8.09200690051754,7.116733755031627,23.346751006325476,9.83323749281196,66.82001150086256,23.92179413456009,42.49568717653824,30.132259919493965,23
CDLHARAMI,957,-0.00010090587352689609,47.7533960292581,49.42528735632184,3.509926854754441,3.2675026123301985,8.28735632183908,8.096133751306166,19.853709508881924,18.91327063740857,61.233019853709514,30.616509926854757,0.0,33.96029258098224,11
CDLHARAMICROSS,321,-0.0009380221199821146,47.0404984423676,49.532710280373834,3.4361370716510904,3.3271028037383177,8.345794392523365,7.984423676012461,19.626168224299064,19.003115264797508,61.37071651090342,27.102803738317753,0.0,33.64485981308411,9
CDLHIGHWAVE,2212,0.00013585309237130908,48.372513562386985,49.954792043399635,3.4981916817359857,3.340415913200723,8.487793851717903,8.064647377938517,22.016274864376133,20.750452079566003,57.23327305605787,33.408679927667265,12.432188065099457,37.11573236889693,16
CDLHIKKAKE,11588,5.9820155819631334e-05,51.294442526751816,48.06696582671729,3.5710217466344494,3.3727131515360718,8.67138419054194,8.177942699344149,5.298584742837418,83.34483948912668,11.3565757680359,37.452537107352434,62.66827752847773,87.35761132205731,6
CDLHIKKAKEMOD,63,0.002319609786263787,52.38095238095239,47.61904761904761,3.5714285714285716,3.1746031746031744,8.523809523809524,8.238095238095237,23.809523809523807,15.873015873015872,60.317460317460316,25.396825396825395,76.19047619047619,30.158730158730158,10
CDLHOMINGPIGEON,157,-0.0010056766915126352,46.496815286624205,50.318471337579616,3.477707006369427,3.356687898089172,8.496815286624203,8.127388535031848,15.92356687898089,15.92356687898089,68.15286624203821,30.573248407643312,0.0,29.936305732484076,20
CDLIDENTICAL3CROWS,47,0.010945638362901461,48.93617021276596,38.297872340425535,3.1702127659574466,2.6382978723404253,7.276595744680851,6.553191489361702,38.297872340425535,17.02127659574468,44.680851063829785,46.808510638297875,95.74468085106383,46.808510638297875,0
CDLINNECK,2,-0.0009628519190489349,0.0,100.0,3.0,3.0,7.5,7.0,50.0,0.0,50.0,0.0,0.0,50.0,6
CDLINVERTEDHAMMER,145,0.0028414928515968457,67.58620689655173,30.344827586206897,3.668965517241379,3.027586206896552,8.406896551724138,7.848275862068966,21.379310344827587,22.758620689655174,55.86206896551724,20.689655172413794,44.13793103448276,37.24137931034483,15
CDLLADDERBOTTOM,12,-0.002128606281206119,25.0,75.0,3.0,3.9166666666666665,8.416666666666666,8.0,16.666666666666664,33.33333333333333,50.0,33.33333333333333,100.0,50.0,6
CDLLONGLEGGEDDOJI,3637,-0.0001631930955031858,46.08193566125928,47.23673357162497,3.3951058564751166,3.1421501237283476,8.258179818531756,7.60984327742645,22.793511135551277,16.057189991751443,61.14929887269728,24.635688754467967,12.895243332416829,33.984052790761616,16
CDLLONGLINE,4974,0.0009600724729805083,48.02975472456775,37.997587454764776,3.143144350623241,2.821471652593486,7.531162042621633,6.854443104141536,23.441897868918378,14.857257740249297,61.70084439083233,34.64012866907921,65.96300763972658,33.69521511861681,13
CDLMARUBOZU,3445,0.0007617798704703366,41.48040638606677,32.62699564586357,2.7169811320754715,2.3851959361393322,6.458925979680696,5.726850507982584,24.383164005805515,11.93033381712627,63.68650217706821,36.284470246734394,70.88534107402032,31.291727140783742,13
CDLMATCHINGLOW,626,0.0009621360484055739,40.894568690095845,31.629392971246006,2.7124600638977636,2.428115015974441,6.4696485623003195,6.086261980830671,20.60702875399361,16.293929712460063,63.09904153354633,32.42811501597444,7.667731629392971,29.233226837060705,9
CDLMORNINGDOJISTAR,17,0.0031898116441775705,35.294117647058826,58.82352941176471,3.411764705882353,3.176470588235294,8.352941176470589,7.9411764705882355,23.52941176470588,11.76470588235294,64.70588235294117,29.411764705882355,70.58823529411765,35.294117647058826,17
CDLMORNINGSTAR,45,0.0013888175820305623,46.666666666666664,51.11111111111111,3.577777777777778,3.1333333333333333,8.333333333333334,8.155555555555555,22.22222222222222,17.77777777777778,60.0,37.77777777777778,73.33333333333333,37.77777777777778,17
CDLONNECK,2,-0.002841621607370559,0.0,100.0,2.5,4.0,9.0,6.5,0.0,50.0,50.0,50.0,50.0,50.0,7
CDLPIERCING,27,-0.0037042438262264023,37.03703703703704,48.148148148148145,3.074074074074074,3.037037037037037,7.666666666666667,7.333333333333333,18.51851851851852,7.4074074074074066,74.07407407407408,44.44444444444444,0.0,18.51851851851852,20
CDLRICKSHAWMAN,1434,8.105513881565e-05,50.4881450488145,47.90794979079498,3.5425383542538356,3.316596931659693,8.53207810320781,8.114365411436541,23.430962343096233,22.17573221757322,54.39330543933054,21.617852161785216,10.181311018131103,39.400278940027896,4
CDLRISEFALL3METHODS,2,-0.0064186485251283565,0.0,100.0,3.5,3.0,10.0,6.0,50.0,0.0,50.0,50.0,50.0,50.0,4
